GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10,HD01_VD11,HD02_VD11,HD01_VD12,HD02_VD12,HD01_VD13,HD02_VD13,HD01_VD14,HD02_VD14,HD01_VD15,HD02_VD15,HD01_VD16,HD02_VD16,HD01_VD17,HD02_VD17,HD01_VD18,HD02_VD18,HD01_VD19,HD02_VD19,HD01_VD20,HD02_VD20,HD01_VD21,HD02_VD21,HD01_VD22,HD02_VD22,HD01_VD23,HD02_VD23,HD01_VD24,HD02_VD24,HD01_VD25,HD02_VD25,HD01_VD26,HD02_VD26,HD01_VD27,HD02_VD27,HD01_VD28,HD02_VD28,HD01_VD29,HD02_VD29,HD01_VD30,HD02_VD30,HD01_VD31,HD02_VD31
0400000US42,42,Pennsylvania,8960842,4623,844296,14148,3134497,22669,2164813,20754,1697397,16085,1119839,16702,6187738,20775,519550,10814,2436393,22062,1522752,17873,1098032,14994,611011,12488,1852396,21087,131487,5305,471337,12196,473513,10208,436240,9943,339819,8861,170577,9309,42204,4417,56552,4481,36391,4317,20637,2312,14793,2473,750131,14253,151055,8619,170215,8145,132157,6758,142488,6701,154216,7565
0400000US44,44,Rhode Island,736969,1733,86292,5190,220613,6434,183540,7098,149699,5754,96825,5412,371936,6686,35108,3325,126053,6042,103753,5807,72218,3871,34804,3038,223304,7796,12955,1764,49416,4784,56301,4073,58313,4255,46319,3162,16228,2085,3733,983,4749,1194,3515,979,2766,949,1465,733,125501,5213,34496,3686,40395,3235,19971,2802,16402,2533,14237,1846
0400000US45,45,South Carolina,3443851,5552,434848,10968,1016072,16826,1028591,15142,607024,11807,357316,10390,1715277,16360,274088,7804,593725,13048,498304,10623,230604,9206,118556,5377,1483127,15730,105080,5392,365197,9807,472829,11397,336551,8812,203470,7860,39570,3621,3057,1396,8571,1417,14172,2184,8058,1627,5712,1166,205877,6882,52623,4439,48579,4065,43286,4109,31811,3653,29578,2878
0400000US46,46,South Dakota,574559,1740,47626,3168,176709,6083,188486,5983,109803,4940,51935,3476,343590,4477,30264,2214,112075,4341,113699,4685,62864,3743,24688,2198,203849,4709,13526,1877,55221,3501,68895,3840,42572,2816,23635,2475,4913,1143,331,212,1296,503,1080,470,1091,414,1115,553,22207,2394,3505,1257,8117,1752,4812,1382,3276,858,2497,722
0400000US47,47,Tennessee,4588453,6112,559884,13201,1488080,18805,1286327,15658,790840,14517,463322,11955,2397776,21106,320808,9913,899520,14587,657234,11364,344950,11982,175264,7157,1865366,23932,157843,7941,509865,12714,570280,13831,385114,11805,242264,8757,43527,3449,3223,1005,8413,1615,14576,2217,11805,1829,5510,1254,281784,9132,78010,5023,70282,4794,44237,4836,48971,4437,40284,3281
0400000US48,48,Texas,18149346,10783,2969023,31451,4552676,44288,5256158,40641,3510311,35839,1861178,24971,8871158,46948,1045352,19354,2613194,31813,2937972,29472,1600379,26364,674261,14211,4802201,34920,302798,9929,1005515,19830,1561111,24618,1228378,19854,704399,15965,295783,11839,38195,3652,64338,5454,92545,5929,66814,4539,33891,3186,4180204,34982,1582678,24854,869629,21359,664530,16547,614740,15012,448627,13132
0400000US49,49,Utah,1827035,2825,143535,6728,408078,11734,642980,10179,416804,9087,215638,6616,934805,9262,52159,3443,228157,7765,359805,9149,200673,7060,94011,3822,645851,9498,30534,3067,116603,6261,226675,6643,174730,6004,97309,4711,21900,3105,1795,1348,5081,1462,7272,1378,4547,1151,3205,984,224479,6028,59047,4714,58237,5100,49228,3982,36854,3018,21113,2696
0400000US50,50,Vermont,439267,1408,32420,2645,127426,4787,111255,3900,98774,4432,69392,3598,203447,4191,19405,1828,81032,4173,56010,2622,34822,2469,12178,1443,209451,4663,9281,1414,42865,2624,50436,2838,56847,3469,50022,3111,4079,795,304,273,438,239,795,370,1375,439,1167,479,22290,1783,3430,989,3091,851,4014,857,5730,1155,6025,1094
0400000US51,51,Virginia,5779221,7685,593377,13111,1396487,18561,1552141,18173,1270190,18538,967026,15232,2322079,18336,302677,10036,761377,14783,673556,13479,385701,9056,198768,6914,2436694,20269,118261,5183,437916,10979,671358,12577,652147,11669,557012,11736,113905,5783,6185,1706,18840,2612,33791,2846,30163,2609,24926,2908,906543,13125,166254,8655,178354,8796,173436,7728,202179,8367,186320,7391
0400000US53,53,Washington,5101968,4672,443963,11762,1128284,16536,1718602,20280,1130392,15951,680727,11936,1849210,18060,113861,6119,497209,12392,708393,13696,368349,9537,161398,5648,2246570,16352,113474,6281,439023,11552,775973,12540,556505,11405,361595,9076,94866,5112,5263,1714,20130,2511,35755,2948,23517,2517,10201,1381,911322,13869,211365,9247,171922,8269,198481,7732,182021,6629,147533,6614
0400000US54,54,West Virginia,1279350,3222,165261,8549,526652,8525,328981,9714,156378,7086,102078,4759,875853,9524,123884,7543,385799,9483,213736,8185,95241,5265,57193,3622,371979,10000,37858,3215,133335,6744,107946,5577,54672,4195,38168,3520,7256,1241,432,408,1587,702,2555,776,1621,633,1061,488,24262,2946,3087,1154,5931,1227,4744,1305,4844,1228,5656,1329
0400000US55,55,Wisconsin,3958231,3518,301971,9397,1214914,12588,1238816,12373,782676,14060,419854,8892,2658080,14073,165822,6813,906263,11850,867426,10466,501492,10169,217077,5862,1027898,11209,69450,4173,246404,7922,319977,7837,234291,6252,157776,5301,32888,2816,5579,1271,8162,1320,9692,1616,5533,1109,3922,892,239365,7804,61120,4501,54085,3903,41721,3383,41360,3362,41079,3516
0400000US56,56,Wyoming,387700,2182,27353,2637,114739,5750,138511,5136,67312,4431,39785,3147,131378,5244,7842,1439,43081,3804,47892,3294,21299,2149,11264,1824,236900,5465,14920,2267,66024,3766,86030,4360,43388,3735,26538,2325,2371,748,56,97,330,246,1134,556,648,416,203,147,17051,2374,4535,1204,5304,1419,3455,1051,1977,868,1780,628
